2020-09-01 13:04:54,587 INFO - Receiving data: {"data":{"links":{"self":{"href":"doc-fms-dev-01.dev.telensa.uk.net:8666/api/faults/5f03076b85b4b9000189152f"}},"type":"fault","id":"5f03076b85b4b9000189152f","attributes":{"assetId":"A192","externalAssetId":"A7","elementId":"7","time":"2019-09-12T10:56:15.000Z","name":"MISSINGDATA","sourceApplication":"planet","addedProperties":{"nlcId":2844202,"outstationId":11,"faultId":16597},"additionalData":{"nlcInfo":{"rssi":-92,"baseIdent":2,"baseDescription":"Base2","location":{"latitude":32.08372,"longitude":-81.101798}},"assetInfo":{"assetField2":"unit number","assetField4":"additional info","assetField5":"assetField5","assetField6":"assetField6","customer":"GP","operator":"System Administrator","assetField7":"GP633723748","location":{"assetLatitude":32.083722,"assetLongitude":-81.101798},"assetField1":"Locksters Lane","assetField3":"Clifford"},"accountInfo":{"energyAccount":"Telensa","energyField1":"E132","energyField2":"PR3424"},"lampInfo":{"lampType":"Default Lamp Type","daliLampInfo":{"manufacturer":"Eaton Cooper Lighting","partNumber":"","model":"Verdeon","nominalPower":64,"technology":null,"cct":"4000K","distributionType":null,"colour":"Gray","voltageRange":"120-277"}},"readings":{"voltage":[{"time":"2019-09-25T13:35:42.000Z","value":2},{"time":"2019-09-25T15:35:42.000Z","value":2}],"power":[{"time":"2019-09-25T14:35:42.000Z","value":5},{"time":"2019-09-25T15:35:42.000Z","value":5}]}},"creationDate":"2020-07-06T11:13:47.000Z"}}}.
2020-09-01 13:04:54,589 INFO - Receiving fault.
2020-09-01 13:04:54,599 INFO - Processing data.
2020-09-01 13:04:54,613 INFO - Alarm id: 5f03076b85b4b9000189152f - Event: File process failure. See failure row(s) below: Attributes.AdditionalData.LampInfo.DaliLampInfo.PartNumber, Attributes.AdditionalData.LampInfo.DaliLampInfo.Technology, Attributes.AdditionalData.LampInfo.DaliLampInfo.DistributionType.
2020-09-01 13:04:54,621 INFO - Saving to integration log.
2020-09-01 13:05:20,734 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 13:15:20,736 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 13:25:20,737 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 13:35:20,738 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 13:45:20,739 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 13:55:20,740 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 14:05:20,743 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 14:15:20,742 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 14:25:20,743 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 14:35:20,744 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 14:45:20,745 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 14:55:20,746 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 15:05:20,747 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
